# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 39.9920 fs, Time steps = [8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
   17.500000     0.0000000000e+00     0.0000000000e+00     4.3007507043e-02
   17.550000     0.0000000000e+00     0.0000000000e+00     3.8398494555e-02
   17.600000     0.0000000000e+00     0.0000000000e+00     3.2435042881e-02
   17.650000    -0.0000000000e+00    -0.0000000000e+00     2.5923451409e-02
   17.700000    -0.0000000000e+00    -0.0000000000e+00     1.9611767103e-02
   17.750000    -0.0000000000e+00    -0.0000000000e+00     1.4062631505e-02
   17.800000    -0.0000000000e+00    -0.0000000000e+00     9.6014155933e-03
   17.850000    -0.0000000000e+00    -0.0000000000e+00     6.3387403418e-03
   17.900000    -0.0000000000e+00    -0.0000000000e+00     4.2439705766e-03
   17.950000    -0.0000000000e+00    -0.0000000000e+00     3.2371318452e-03
   18.000000    -0.0000000000e+00    -0.0000000000e+00     3.2694627124e-03
   18.050000    -0.0000000000e+00    -0.0000000000e+00     4.3715964879e-03
