# Kick = [    1.000000000000e-03,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
         57.87792268      -2.49800181e-16    -2.480657600084e-02    -2.744127147736e-10     3.829059291860e-10
         58.29133642      -5.55111512e-17    -2.516863003178e-02    -1.894662204904e-10     2.965854228876e-10
         58.70475015       1.11022302e-16    -2.526189432922e-02    -1.346638356381e-10     2.388045317048e-10
         59.11816388      -4.99600361e-16    -2.519462409896e-02    -8.944800455879e-11     2.119473485607e-10
         59.53157762      -3.05311332e-16    -2.515174058062e-02    -4.808264897349e-11     2.138667021256e-10
         59.94499135      -4.99600361e-16    -2.512551406794e-02    -1.700528606818e-11     2.224496142844e-10
         60.35840508       1.94289029e-16    -2.508361397941e-02    -5.833555860590e-12     2.258793152521e-10
         60.77181882       8.32667268e-17    -2.504347570399e-02    -2.248645714076e-11     2.517539510194e-10
         61.18523255      -1.38777878e-16    -2.503122915992e-02    -5.057221308391e-11     3.198064035814e-10
         61.59864628      -5.55111512e-16    -2.509878770563e-02    -9.575851223076e-11     4.136890829898e-10
         62.01206002      -4.71844785e-16    -2.517769302971e-02    -1.235589408566e-10     4.872333647654e-10
         62.42547375      -6.93889390e-16    -2.512285185703e-02    -1.409072858394e-10     5.202147601580e-10
         62.83888748       1.11022302e-16    -2.498861592695e-02    -1.504842916944e-10     5.099045630175e-10
         63.25230122       3.88578059e-16    -2.489709096886e-02    -1.471791577501e-10     4.735918324172e-10
         63.66571495      -3.33066907e-16    -2.480282328078e-02    -1.292099760519e-10     4.266480502224e-10
         64.07912868      -9.99200722e-16    -2.461000512995e-02    -9.618572605063e-11     3.666875691977e-10
         64.49254242      -8.04911693e-16    -2.425980369225e-02    -4.105249473696e-11     2.927305065015e-10
         64.90595615      -5.55111512e-16    -2.383480415163e-02     3.031730422265e-11     2.152154010560e-10
         65.31936988      -2.77555756e-16    -2.357686863417e-02     9.620881868955e-11     1.495237267335e-10
         65.73278362      -4.71844785e-16    -2.348404461471e-02     1.359625745323e-10     1.140367800190e-10
         66.14619735      -2.22044605e-16    -2.326526349255e-02     1.430344731546e-10     1.204896182827e-10
         66.55961108      -3.88578059e-16    -2.277657020782e-02     1.499567137131e-10     1.524860238078e-10
         66.97302482      -5.55111512e-16    -2.214839884623e-02     2.194457948690e-10     2.081539385301e-10
         67.38643855      -4.71844785e-16    -2.164832177909e-02     2.290128087168e-10     2.043778479788e-10
         67.79985228      -5.82867088e-16    -2.136934202339e-02     2.672235765999e-10     2.336202342690e-10
         68.21326602      -1.66533454e-16    -2.109563631621e-02     2.891760164658e-10     2.560940348673e-10
         68.62667975       2.22044605e-16    -2.069093345619e-02     3.211266808023e-10     2.788478337123e-10
         69.04009348      -6.66133815e-16    -2.022537394608e-02     2.699822587715e-10     2.615647698434e-10
         69.45350722      -3.88578059e-16    -1.977474786404e-02     1.922071390936e-10     2.504669804893e-10
         69.86692095      -7.21644966e-16    -1.937696974773e-02     1.169340180240e-10     2.413054200900e-10
         70.28033469      -2.77555756e-16    -1.893844753354e-02     5.888023402179e-11     2.353615080608e-10
         70.69374842      -5.27355937e-16    -1.835120164289e-02     1.492472812004e-11     2.349007655056e-10
         71.10716215      -5.27355937e-16    -1.769268419741e-02    -2.648237185099e-11     2.281312916352e-10
         71.52057589      -7.49400542e-16    -1.699243489542e-02     4.848743628827e-11     2.588458336561e-10
         71.93398962      -8.32667268e-17    -1.620329983854e-02     1.071218669324e-10     2.096216533687e-10
         72.34740335      -6.38378239e-16    -1.542057184600e-02     2.030495771521e-10     1.527808990431e-10
         72.76081709       2.22044605e-16    -1.477118712901e-02     2.629705342372e-10     1.022730788947e-10
         73.17423082       1.38777878e-16    -1.432412545650e-02     3.077222920922e-10     7.274469915330e-11
         73.58764455      -4.44089210e-16    -1.400526194762e-02     3.429923012277e-10     3.634825773702e-11
         74.00105829       0.00000000e+00    -1.352709521349e-02     4.064157899109e-10    -1.839506325041e-11
         74.41447202       0.00000000e+00    -1.272726898323e-02     4.675464460036e-10    -6.354405890363e-11
         74.82788575      -2.49800181e-16    -1.172473891378e-02     4.802132025361e-10    -7.538458746126e-11
         75.24129949      -5.55111512e-17    -1.073226867148e-02     4.359894667516e-10    -5.612177389480e-11
         75.65471322      -2.49800181e-16    -9.953456179504e-03     3.659459402172e-10    -8.546940932774e-12
         76.06812695       0.00000000e+00    -9.392872820360e-03     2.905027329803e-10     7.149258962613e-11
         76.48154069      -5.55111512e-17    -8.852462724661e-03     2.214814998069e-10     1.416080586125e-10
         76.89495442       4.44089210e-16    -8.216958287247e-03     1.675832805859e-10     1.708437835646e-10
         77.30836815      -8.32667268e-17    -7.500934542362e-03     1.330828780510e-10     1.466506915904e-10
         77.72178189      -7.77156117e-16    -6.740046306164e-03     9.976730552808e-11     1.046713826724e-10
         78.13519562       8.32667268e-17    -5.935711187121e-03     8.416689567525e-11     9.292122626903e-11
         78.54860935       4.44089210e-16    -5.049325942041e-03     6.184031065004e-11     9.993472716019e-11
         78.96202309      -1.66533454e-16    -4.114399072287e-03     9.362333130980e-11     8.414202667950e-11
         79.37543682      -4.16333634e-16    -3.291888642655e-03     1.515196856872e-10     2.054001413399e-11
         79.78885055       3.05311332e-16    -2.667110751300e-03     2.331432824576e-10    -4.403943876241e-11
         80.20226429      -1.11022302e-16    -2.043457495916e-03     3.023279404601e-10    -9.799094868868e-11
         80.61567802      -4.16333634e-16    -1.185415644621e-03     3.501181566889e-10    -1.342184141606e-10
         81.02909175       3.05311332e-16    -1.736539138575e-04     3.785474156359e-10    -1.638746915944e-10
         81.44250549       0.00000000e+00     7.636264729709e-04     3.829452310811e-10    -1.876094835040e-10
         81.85591922      -1.66533454e-16     1.573392354421e-03     3.664224479394e-10    -1.992672693518e-10
         82.26933295      -2.49800181e-16     2.356448123798e-03     3.253552982585e-10    -1.914939318226e-10
         82.68274669      -4.99600361e-16     3.157891486933e-03     2.477547056401e-10    -1.291846629670e-10
         83.09616042      -2.49800181e-16     3.863102611405e-03     1.331077470468e-10    -2.393329978645e-11
         83.50957416      -6.66133815e-16     4.385700569550e-03     6.156053444784e-11     9.644773868445e-11
         83.92298789      -4.99600361e-16     4.907670417253e-03     1.496669455037e-11     1.668909455077e-10
         84.33640162       5.55111512e-17     5.704412535541e-03    -1.859445930563e-11     1.958482265252e-10
         84.74981536      -2.77555756e-16     6.735592144828e-03    -4.027711497656e-11     2.196696158308e-10
         85.16322909      -3.88578059e-16     7.727111713295e-03    -4.084865778964e-11     2.452242853224e-10
         85.57664282      -2.22044605e-16     8.576713748730e-03    -2.230526874314e-11     2.532489773444e-10
         85.99005656      -6.38378239e-16     9.315387777449e-03     1.042055330913e-11     1.995137388633e-10
         86.40347029      -3.33066907e-16     9.986345627644e-03     1.781907954523e-11     1.151789774667e-10
         86.81688402      -7.21644966e-16     1.069136708487e-02    -3.148414862153e-11     8.079137359118e-11
         87.23029776      -8.32667268e-16     1.141240365039e-02    -1.112043790386e-10     1.070454835883e-10
